HoursWorked,FocusScore,ProductivityScore,Department,YearsAtCompany,TeamMeetingsPerWeek,DeskLocation
42.4,6.3,3127.96,Engineering,17,0,Open Plan
34.0,7.200000000000001,4742.6,HR,8,6,Private Office
47.2,5.6,2044.73,Sales,15,3,Remote
38.4,9.0,5818.92,HR,5,6,Private Office
36.4,2.5,1841.31,Sales,9,6,Remote
44.4,4.0,2385.25,Sales,20,3,Open Plan
44.3,7.1,3888.09,Sales,8,4,Open Plan
36.8,5.4,2077.97,Engineering,4,3,Open Plan
40.1,4.5,2404.92,Marketing,15,5,Open Plan
28.8,2.3,784.8800000000001,Engineering,4,3,Private Office
45.8,6.3999999999999995,3203.25,Sales,14,3,Private Office
45.0,3.1000000000000005,1901.3899999999999,HR,10,3,Open Plan
44.8,6.1,2743.44,Engineering,1,3,Private Office
29.9,8.0,4777.64,Marketing,9,4,Remote
38.3,5.1000000000000005,2024.9899999999998,HR,16,0,Open Plan
40.0,5.2,2068.99,Engineering,1,3,Private Office
42.0,6.0,4085.21,HR,14,5,Open Plan
41.4,7.9,4062.77,Marketing,6,1,Remote
46.6,4.3,2108.93,Engineering,19,4,Private Office
32.3,6.0,3844.51,HR,17,2,Remote
39.0,6.2,3356.97,Sales,19,5,Open Plan
36.7,8.100000000000001,5636.85,HR,6,2,Open Plan
41.0,5.6000000000000005,2260.58,Marketing,3,3,Open Plan
42.8,6.5,3030.5,Sales,5,2,Open Plan
46.6,5.2,2759.78,Marketing,0,0,Private Office
37.7,5.1,1708.8900000000003,Sales,3,5,Private Office
43.4,10.0,5093.88,Engineering,15,2,Open Plan
30.9,6.1,3901.8099999999995,Marketing,5,4,Private Office
39.1,7.5,4539.25,Engineering,17,5,Remote
45.3,5.2,2016.44,Marketing,19,4,Remote
38.0,8.2,4058.96,HR,8,2,Private Office
41.7,6.3,2279.22,Marketing,0,6,Private Office
45.2,6.3,4019.96,Marketing,7,2,Open Plan
45.2,5.9,3426.03,Sales,3,4,Remote
44.3,5.5,2932.71,Marketing,3,3,Private Office
