review_id,user_id,business_id,date,text,useful,funny,cool,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
zsbVXbCsycrTWkVlsKsVOg,u3NDqJr25UwYeXZypxJcqw,xBkXnzbctPGWG86L27GNFQ,2015-01-03,We brought our Doxie to Dr. Scholten for serious gum disease. We were so impressed. He is a dog whisperer. So good with our scared little guy. Highly recommend.,0,0,1,"""Hopi Animal Hospital""",,"""5533 E Bell Rd, Ste 101""",Scottsdale,AZ,85254,33.6399163,-111.9617795,4.5,30,1,Pet Services;Pet Sitting;Pets;Veterinarians
d3iCvvJsJZs4U-ZFfq_pSA,DxHP0hTWS9Jpd-xSVCMYAg,JDjOobEd_Tm6Z06YRmWkbg,2008-05-13,"First, I'm a regular here. Sunday afternoons at Charlie's are something like church for me in the Arizona springtime. Cold beer, good friends, warm sun and boys playing volleyball in the back court (although it troubles me to see so many of them playing barefoot in what amounts to an oversized ashtray. PLEASE keep your shoes on, boys! It reminds me of playing volleyball in an enormous cat litter box.)

Charlie's is NOT for the gays who like to put on their tightest T-shirt, gel their hair up and pretend like they just saw someone they know so they can do anything but make eye contact with another human being. 

It IS for the gays that are comfortable with themselves and enjoy talking to other gays that sometimes are cowboys, sometimes are drag queens, but are almost ALWAYS friendly (even if they're a bit tanked). 

The small pitchers on Sundays have kind of become a tradition. And it's fun to watch people two-step on the weekend nights. 

Downsides? Sometimes the crowd looks like the crowd at the rescue mission. The Arizona anti-smoking law somehow doesn't apply to the COVERED patio in the back, therefore making it uncomfortable to breathe back there. 

And, PLEASE take a cab if you've had too much to drink. Cops hang out waiting to nab ya later on at night. 

Overall, it's a fun, if somewhat tired, staple of the gay nightlife in Phoenix. Also have ""branches""  in Chicago, Denver and Las Vegas.

And, it's always a sure-fire hit with straight sisters, brothers, kids and moms (yes, I said moms) that are in from out of town. 

Especially if they two-step.",5,3,5,"""Charlie's""",,"""727 W Camelback Rd""",Phoenix,AZ,85013,33.5089672,-112.0836101,3.0,158,1,Bars;Nightlife;Dance Clubs;Gay Bars
yTS2FOyhmRHgwAXSG8muiQ,-aYO8Ga4U5hrwxV7y1IaiA,qiRyyRWt6jmAxcoVW0-WHA,2015-08-02,"Best AYCE in Mississauga. For an AYCE, their sushi and skewered meats are super delicious. Service can get bit annoying sometimes, as there isn't one assigned waiter per table. The BBQ eel sushi  and the Thai Chicken skewers were the highlights.",6,0,1,"""Heart Sushi""",East Credit,"""815 Britannia Road W, Unit 2""",Mississauga,ON,L5V 2X8,43.6105329658,-79.6984212268,3.5,278,1,Chinese;Japanese;Buffets;Restaurants;Sushi Bars
W1PG83hPCogZdLlstltWZw,EJLsnsI53YKBHq9te2KSiQ,t67GMPZ0cv_ItKlID-JFiQ,2013-04-10,"Love it! It's a nice quick, inexpensive & tasty. I love hear the staff try to figure out ways to attract more hipsters.",0,1,0,"""Banzo""",,"""2105 Sherman Ave""",Madison,WI,53704,43.1016722349,-89.3645954132,4.5,286,1,Food;Mediterranean;Food Trucks;Restaurants
Q8IuYiUzeK-Uc8mK-luL3w,gknq0IAq9jaSlotJ465FGw,6P-JmU0VW-qhYq7It1wowg,2014-11-10,Dont eat here! Doesnt even taste like pho here! Horrible service!  They say their vietnamese but their pho is definately not vietnamese pho! I took a bite out of it and i just wanted to throw up! They need money soo bad that they wont let us change for something else.,0,0,0,"""Pho 68""",,"""2025 N Dobson Rd""",Chandler,AZ,85224,33.3361505,-111.8743381,3.5,77,0,Vietnamese;Restaurants
6KIJxKhq3t3Kqed3goCBvg,Voi1UdejTAUJ_zIVwodXGQ,xlXwxfiUD4bgJFKUYwkzOg,2016-10-02,"Won't be back here again! This is the second time we've been here. The first time was when they had just opened, their service was terrible at best. We figured it was due to new staff and grand opening week. 
We'll, we decided to give Borracha a second try, low and behold their service still stinks like a dead corpse that has been rotting in the desert sun! On this night the restaurant wasn't very busy and there were quiet a few open tables. It took our hostess a while before she sat us and when she did, she placed us right next to the server station. When asked if we could have a different table, we were that's not going to be possible.  So we sat down at the table without being handed a menu. I have to give the bus boy a 5 star rating due to his attentiveness. He was quick with the water, chips and salsa. So my girlfriend and I sat for the next 15 minutes sipping on our water and munching on the complimentary chips and salsa. Halfway through the chips and salsa we tried to get the attention of a server to no avail.  So we finished those chips and I walked up to a server and let her know what we thought about the service then left. Her response was classic...""oh"" so needless to say we won't be back there again.",1,0,0,"""Borracha Mexican Cantina""",Anthem,"""2300 Paseo Verde Pkwy""",Henderson,NV,89052,36.020481,-115.088674,4.0,353,1,Bars;Mexican;Cocktail Bars;Restaurants;Nightlife
AxL7ppvJuDpUx2YLtZwh1A,4098Gifmvxhu8sBGZ8uDdA,xm-LPu0bPl5cZ2PYKS9zDQ,2016-12-19,"Was really quick in and out of here. Called in and got my appointment set up same day. The office staff is very friendly, kind and personable. Back end staff (doctor and nurse) were very kind and helpful! Would definitely recommend to a friend! Would definitely go back for renewal.",0,0,0,"""Dr. Green Relief Las Vegas Marijuana Doctors""",,"""7200 Smoke Ranch Rd, Ste 120""",Las Vegas,NV,89128,36.2038567547,-115.248753264,4.5,113,1,Medical Centers;Cannabis Clinics;Doctors;Naturopathic/Holistic;Health & Medical
hz9wBea9lzQpZpUG_LLNAg,MirqeVRRWQfUPoAF2gIPiA,Jy6ru0Hz-9Yc5v006-YmUQ,2017-06-09,"If you're looking for excellent cold pressed juice, don't look anywhere else.
I think that their juices are better in taste than their competition. I took the ""Ginge & juice"" which I recommend you guyz ! They also have food that I will definitely try next time I stop by !
The only thing that can be improve is to have another location closer to the strip.",0,0,0,"""Fruits and Roots""",Spring Valley,"""7885 W Sunset Rd, Ste 180""",Las Vegas,NV,89113,36.0702141,-115.2620348,4.5,235,1,Food;Specialty Food;Organic Stores;Vegan;Restaurants;Gluten-Free;Juice Bars & Smoothies
g-i0zuPKO5hbiw1NisuZvg,rQSw2bmPyf0uAc3mueMTqw,p9qyijcuXP6HKAFaVXl1Lg,2011-12-28,"This review is in reference to the new cafe on the third floor of the museum and not to any of the other restaurants, cafes or the museum itself.Granted, it is holiday time and the museum is much busier than it usually would be on a weekday, but what a chaotic scene! We waited for ages in a queue. When we finally were able to access the refreshments and register area, I found no beverages really appropriate for small children - thick, exotic smoothies, or juice water for £2.70\/bottle. We took the latter, a bag of crisps and a single macchiato - all for a grand total of over £5. A bit on the steep side I would say. Especially given the fact that we queued for ages, were showered in broken glass when the customer behind us lost the battle with balancing her tray of food in one hand and all her winter garb in her other, and then we had to search for ages to find a table to sit at. We finally had to ask to join an already occupied table. We squeezed onto one chair - my child perched on my lap and my macchiato now lukewarm. If an establishment is going to justify charging £2.70 for a bottle of juice, it can only do so with table service and a table for the customer.",2,1,1,"""National Museum of Scotland""",Old Town,"""Chambers Street""",Edinburgh,EDH,EH1 1JF,55.9470014874,-3.190507173,4.5,160,1,Museums;Local Flavor;Arts & Entertainment
roo3u1uAreAOMXEwoaaEXQ,BIcfTJw4-76b9NuZUgpKIA,UidEFF1WpnU4duev4fjPlQ,2016-04-17,"Walked into this place and was astounded by the classy-ness. The interior is sleek and clean, with prices to match.  This place reminds me of one of the 'famous chef' restaurants in Vegas but I am willing to actually come here and pay for it, while other places that are similar in the pretentious vibe and I am not willing to go in. The staff here was really nice and on the ball, I always appreciate that in a place.

I came here with a big group so I was able to try a bunch of their dishes. All the food here was actually really good, a nice surprise, and even though it looks like not enough food on your plate for most dishes, it usual has ended up being just the perfect amount of food. I had the pork sliders which came in a portion of 3, with nothing else but it really was okay, I felt full after eating them.  A burger here will set you back about 16 bucks but it will be worth it. They are made from wagu beef, and one of the best burgers I have had in Vegas living there about 6 years now. It comes with fries too which were handcut and freshly made, a nice touch.The side portion of carrots were interesting to note. They looked like a bunch of freshly picked long stem carrots that were soaked in honey or something similar, but were good. The seafood dishes also looked impressive and no one was unhappy with their meal after we left. They do offer a dessert selection as well, but we were so full that we only tried two of them. Both were good choices-if you want to see pictures of multiple food items of any desserts check out my photos for this place.

Overall I was impressed with the interior, atmosphere, staff attentiveness and quality of the food. Although it was a bit pricey I still felt it was worth it and would be willing to come back here for a date night, or other special event as it is a nicer place.",3,0,1,"""Therapy""",Downtown,"""518 E Fremont St""",Las Vegas,NV,89101,36.1690657918,-115.139841502,4.0,736,1,Bars;Tapas/Small Plates;Beer;Wine & Spirits;Restaurants;Gastropubs;Food;Burgers;American (New);American (Traditional);Nightlife
pxkPsqgtDAQVagKEMN1lwQ,YmK6PYrnHikusFZh7z0Kuw,kJwWVi3uCXniUkJwhS3N3Q,2017-07-30,"This place has excellent food. The place is small and has maybe 6-8 tables of varying sizes. I went with my roommate and we ordered the fresh rolls, pot stickers and crispy tofu for appetizers. For dinner we ordered green curry with extra side of rice, and rice noodle soup. They do put in a lot meat! They got 4 stars instead of five because the service was lacking. I ordered Thai tea and the server forgot about it until she heard me mention it after we finished our appetizers. We also had to ask for water refills regularly. At first it was full, but as people cleared out, we weren't getting any better attention. The food was good enough to keep high stars.",1,0,0,"""Thai Gourmet""",,"""10575 W Indian School Rd, Ste 101""",Avondale,AZ,85392,33.492888,-112.2858577,4.5,208,1,Restaurants;Thai
oSlZdEY9YYRnekiluMUy1g,-5ohKzWWOzAG1M1OtcoPgQ,f8CST3ex8RlZoZNwBQzMRA,2013-06-23,"has recently changed hands and the new owners will not honor the coupons the old owners sold.

Despite the far from warm service in the past, the quality and quantity of the food justified being a regular customer, since the take over the quality and quantity has diminished and we no longer frequent this establishment.",0,0,0,"""Restaurant Agora Souvlaki""",Notre-Dame-de-Grâce,"""6544 Somerled Avenue""",Montréal,QC,H4V 1S8,45.4673896,-73.6386165,2.0,3,0,Greek;Mediterranean;Restaurants
